Ranking,County,Adherents,Percent
133,Jefferson County,130,0.19
153,Jefferson County,,
153,Jefferson County,,
140,Jefferson County,310,0.12
96,Jefferson Parish,2448,0.57
153,Jersey County,,
153,Jessamine County,,
153,Johnson County,,
114,Johnson County,502,0.38
53,Johnson County,7452,1.37
153,Johnson County,,
153,Jones County,,
110,Juneau City and Borough,130,0.42
82,Juniata County,185,0.75
130,Kalamazoo County,551,0.22
135,Kanawha County,335,0.17
153,Kane County,,
153,Kankakee County,,
153,Kauai County,,
153,Kaufman County,,
144,Kay County,38,0.08
142,Kenai Peninsula Borough,57,0.1
153,Kendall County,,
128,Kennebec County,289,0.24
131,Kenosha County,349,0.21
141,Kent County,176,0.11
133,Kent County,1118,0.19
120,Kent County,535,0.32
153,Kenton County,,
145,Kern County,578,0.07
153,Kershaw County,,
153,Ketchikan Gateway Borough,,
81,King County,14925,0.77
153,Kings County,,
3,Kings County,288177,11.51
138,Kitsap County,351,0.14
153,Kittitas County,,
153,Klamath County,,
138,Knox County,76,0.14
153,Knox County,,
125,Knox County,1147,0.27
152,Kodiak Island Borough,0,0
143,La Crosse County,103,0.09
153,La Paz County,,
116,La Plata County,184,0.36
72,Lackawanna County,1913,0.89
153,Lafayette County,,
144,Lafayette Parish,176,0.08
153,Lafourche Parish,,
153,Lake County,,
24,Lake County,18517,2.63
123,Lake County,1434,0.29
153,Lake County,,
147,Lake County,122,0.05
153,Lamoille County,,
133,Lancaster County,551,0.19
121,Lancaster County,1615,0.31
117,Lane County,1236,0.35
153,Lapeer County,,
122,LaPorte County,332,0.3
153,Laramie County,,
148,Larimer County,122,0.04
137,Las Animas County,24,0.15
153,LaSalle County,,
153,Latah County,,
153,Lauderdale County,,
142,Lauderdale County,84,0.1
153,Lavaca County,,
153,Lawrence County,,
153,Leavenworth County,,
153,Lebanon County,,
143,Lee County,124,0.09
128,Lee County,1470,0.24
153,Lee County,,
153,Leflore County,,
67,Lehigh County,3406,0.97
145,Lenoir County,40,0.07
105,Leon County,1331,0.48
153,Lewis County,,
153,Lexington County,,
153,Liberty County,,
148,Licking County,65,0.04
153,Lincoln County,,
153,Lincoln County,,
137,Linn County,308,0.15
124,Litchfield County,537,0.28
153,Livingston County,,
153,Livingston County,,
153,Livingston Parish,,
153,Logan County,,
153,Logan County,,
153,Lonoke County,,
147,Lorain County,138,0.05
153,Los Alamos County,,
63,Los Angeles County,108468,1.1
127,Loudoun County,778,0.25
153,Lowndes County,,
144,Lowndes County,46,0.08
144,Lubbock County,230,0.08
84,Lucas County,3203,0.72
80,Luzerne County,2494,0.78
142,Lycoming County,116,0.1
123,Lynchburg city,219,0.29
153,Macomb County,,
153,Macon County,,
133,Madison County,646,0.19
151,Madison County,32,0.01
153,Madison County,,
153,Madison County,,
153,Madison County,,
145,Madison County,70,0.07
112,Mahoning County,945,0.4
150,Manatee County,60,0.02
153,Manitowoc County,,
135,Marathon County,232,0.17
153,Marengo County,,
116,Maricopa County,13852,0.36
40,Marin County,4543,1.8
153,Marinette County,,
140,Marion County,381,0.12
121,Marion County,122,0.31
87,Marion County,6101,0.68
139,Marion County,89,0.13
141,Marion County,362,0.11
153,Marion County,,
153,Marion County,,
136,Marquette County,105,0.16
153,Marshall County,,
134,Marshall County,60,0.18
104,Martin County,716,0.49
153,Martinsville city,,
153,Maui County,,
153,McClain County,,
140,McCracken County,78,0.12
153,McDowell County,,
153,McDuffie County,,
143,McHenry County,281,0.09
133,McKean County,81,0.19
138,McLean County,232,0.14
132,McLennan County,478,0.2
96,Mecklenburg County,5215,0.57
153,Medina County,,
153,Mendocino County,,
149,Merced County,65,0.03
30,Mercer County,8054,2.2
129,Mercer County,265,0.23
140,Mercer County,76,0.12
118,Merrimack County,502,0.34
139,Mesa County,186,0.13
148,Miami County,14,0.04
153,Miami County,,
153,Miami County,,
62,Miami-Dade County,28156,1.13
90,Middlesex County,1064,0.64
39,Middlesex County,27385,1.82
37,Middlesex County,14875,1.84
153,Midland County,,
153,Midland County,,
153,Miller County,,
78,Milwaukee County,7583,0.8
153,Mingo County,,
142,Minnehaha County,176,0.1
153,Mississippi County,,
133,Missoula County,211,0.19
129,Mobile County,961,0.23
147,Mohave County,103,0.05
17,Monmouth County,21021,3.33
125,Monongalia County,259,0.27
144,Monroe County,60,0.08
153,Monroe County,,
113,Monroe County,537,0.39
153,Monroe County,,
